Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,129.050003,130.649994,127.349998,130.100006,122.147240,1221969
2017-02-02,132.449997,138.800003,132.399994,137.649994,129.235718,6652685
2017-02-03,138.199997,143.899994,137.100006,141.850006,133.178986,3569132
2017-02-06,141.899994,144.750000,141.199997,142.750000,134.023972,2127506
2017-02-07,142.100006,145.800003,140.100006,141.649994,132.991211,2205918
2017-02-08,141.949997,146.899994,141.350006,146.149994,137.216141,2162887
2017-02-09,146.000000,147.149994,143.050003,143.899994,135.103668,1726818
2017-02-10,143.949997,145.500000,142.600006,143.949997,135.150620,1367413
2017-02-13,144.899994,146.850006,141.250000,141.949997,133.272873,2224197
2017-02-14,142.399994,143.699997,139.949997,141.199997,132.568710,1395593
2017-02-15,140.899994,142.850006,138.000000,138.750000,130.268478,1193620
2017-02-16,139.199997,140.699997,138.100006,140.100006,131.535950,942382
2017-02-17,140.899994,141.949997,139.649994,140.149994,131.582886,952450
2017-02-20,141.000000,142.600006,139.800003,141.600006,132.944275,1517679
2017-02-21,142.149994,143.199997,141.000000,141.600006,132.944275,1671915
2017-02-22,142.550003,142.750000,139.600006,140.000000,131.442093,1296093
2017-02-23,140.050003,140.899994,138.699997,139.250000,130.737915,1340126
2017-02-27,139.000000,140.449997,138.350006,138.899994,130.409302,1129032
2017-02-28,139.149994,139.850006,136.750000,138.050003,129.611252,1513693
2017-03-01,138.500000,145.800003,138.250000,143.600006,134.822021,4919352
2017-03-02,145.449997,145.750000,140.050003,141.100006,132.474838,1765255
2017-03-03,141.100006,144.199997,140.100006,143.350006,134.587280,1672938
2017-03-06,143.949997,145.199997,142.100006,143.250000,134.493408,2043052
2017-03-07,143.000000,144.149994,142.199997,142.750000,134.023972,727617
2017-03-08,142.399994,143.000000,140.050003,141.399994,132.756500,1103877
2017-03-09,140.600006,142.350006,140.199997,140.800003,132.193176,1073015
2017-03-10,140.850006,142.250000,136.750000,137.100006,128.719345,1671172
2017-03-14,140.199997,140.399994,138.600006,139.500000,130.972641,838219
2017-03-15,139.600006,142.100006,139.300003,140.899994,132.287064,1279451
2017-03-16,141.600006,145.500000,141.350006,144.699997,135.854767,3987646
2017-03-17,145.699997,145.699997,142.250000,144.800003,135.948654,1898811
2017-03-20,144.800003,147.449997,144.800003,146.449997,137.497787,2675495
2017-03-21,147.000000,148.449997,145.100006,145.899994,136.981415,2955856
2017-03-22,145.550003,145.550003,142.199997,143.100006,134.352600,2306755
2017-03-23,143.899994,152.500000,143.199997,151.600006,142.333008,6422298
2017-03-24,152.899994,153.149994,150.500000,151.149994,141.910492,3485991
2017-03-27,151.000000,151.899994,148.000000,148.600006,139.516373,2933289
2017-03-28,149.899994,153.899994,148.000000,150.550003,141.347183,2740120
2017-03-29,151.699997,153.000000,149.500000,150.600006,141.394119,2092924
2017-03-30,151.449997,152.750000,149.699997,150.149994,140.971619,3022795
2017-03-31,151.449997,152.100006,150.100006,150.550003,141.347183,1193137
2017-04-03,150.649994,153.500000,150.300003,151.899994,142.614655,1788548
2017-04-05,152.800003,154.800003,151.000000,152.649994,143.318802,2011288
2017-04-06,152.899994,154.350006,151.250000,153.050003,143.694366,2295942
2017-04-07,152.800003,154.449997,150.000000,150.600006,141.394119,1444642
2017-04-10,151.500000,152.250000,149.399994,150.949997,141.722717,1857915
2017-04-11,151.500000,153.750000,151.050003,153.399994,144.022964,2064221
2017-04-12,153.949997,153.949997,150.300003,151.750000,142.473831,1907247
2017-04-13,152.000000,153.000000,149.800003,150.500000,141.300232,1272204
2017-04-17,151.000000,151.000000,148.550003,149.449997,140.314423,830703
2017-04-18,149.100006,152.500000,147.500000,148.149994,139.093872,1563947
2017-04-19,147.899994,150.800003,147.500000,150.199997,141.018585,1092317
2017-04-20,150.250000,153.600006,150.250000,152.149994,142.849380,1540540
2017-04-21,153.500000,153.899994,149.699997,151.300003,142.051331,1293698
2017-04-24,151.000000,153.250000,151.000000,151.949997,142.661591,1079887
2017-04-25,152.399994,153.149994,151.000000,151.699997,142.426880,945527
2017-04-26,152.449997,156.600006,151.600006,153.750000,144.351578,4161713
2017-04-27,155.000000,155.399994,151.550003,152.100006,142.802429,1388038
2017-04-28,153.399994,154.699997,152.000000,153.100006,143.741318,1132516
2017-05-02,154.300003,161.449997,153.750000,157.699997,148.060089,6827849
2017-05-03,158.850006,158.850006,155.550003,156.199997,146.651794,1523044
2017-05-04,156.300003,158.300003,154.800003,155.350006,145.853775,1653237
2017-05-05,156.500000,156.500000,151.100006,152.300003,142.990204,1349536
2017-05-08,152.800003,154.149994,151.949997,152.600006,143.271866,1239593
2017-05-09,153.199997,155.149994,152.550003,154.050003,144.633224,939148
2017-05-10,154.899994,156.350006,153.899994,154.850006,145.384338,1186929
2017-05-11,155.000000,156.199997,153.199997,154.000000,144.586288,589464
2017-05-12,154.000000,154.750000,151.649994,152.649994,143.318802,940916
2017-05-15,152.649994,155.000000,152.449997,154.600006,145.149612,1012554
2017-05-16,154.600006,155.449997,153.000000,154.449997,145.008789,1306020
2017-05-17,154.000000,154.649994,152.500000,152.850006,143.506592,1161590
2017-05-18,152.000000,152.600006,147.000000,147.500000,138.483627,1233917
2017-05-19,149.500000,153.800003,148.350006,149.500000,140.361359,2744849
2017-05-22,149.800003,151.149994,147.199997,147.800003,138.765274,1098727
2017-05-23,148.050003,148.399994,143.649994,144.750000,135.901703,1355129
2017-05-24,145.199997,146.100006,140.199997,141.699997,133.038177,1755862
2017-05-25,143.449997,144.649994,142.100006,143.050003,134.305649,1842806
2017-05-26,144.000000,147.250000,143.500000,146.899994,137.920288,1417686
2017-05-29,147.199997,147.500000,143.899994,145.399994,136.511978,977041
2017-05-30,145.000000,146.199997,143.699997,145.550003,136.652802,1513053
2017-05-31,148.550003,151.000000,147.550003,149.399994,140.267456,3325237
2017-06-01,148.350006,154.000000,148.250000,152.399994,143.084091,2952069
2017-06-02,153.100006,158.350006,152.149994,154.850006,145.384338,3603942
2017-06-05,155.050003,156.500000,152.899994,154.949997,145.478210,1647207
2017-06-06,155.000000,155.649994,152.199997,153.000000,143.647400,1290705
2017-06-07,152.649994,156.399994,152.399994,155.550003,146.041534,1943703
2017-06-08,155.100006,156.899994,153.399994,154.600006,145.149612,1479812
2017-06-09,154.899994,155.649994,152.800003,154.399994,144.961823,1319642
2017-06-12,153.500000,154.500000,151.750000,152.100006,142.802429,1438107
2017-06-13,152.449997,157.699997,151.699997,156.449997,146.886520,3463217
2017-06-14,156.949997,160.449997,155.050003,158.449997,148.764267,4815053
2017-06-15,158.449997,162.750000,157.600006,159.100006,149.374527,3647423
2017-06-16,159.949997,161.800003,157.699997,158.199997,148.529541,1968954
2017-06-19,159.000000,159.550003,155.899994,156.399994,146.839554,1362450
2017-06-20,156.750000,158.649994,155.550003,156.850006,147.262070,1212404
2017-06-21,156.800003,159.399994,156.050003,156.800003,147.215118,2770731
2017-06-22,157.000000,158.600006,154.000000,154.750000,145.290436,2216575
2017-06-23,154.600006,155.000000,149.800003,151.149994,141.910492,1980476
2017-06-27,151.149994,151.949997,145.750000,147.350006,138.342789,1465569
2017-06-28,147.250000,150.199997,146.399994,149.149994,140.032761,2135161
2017-06-29,149.949997,151.699997,147.899994,148.500000,139.422485,2280933
2017-06-30,148.000000,151.699997,147.100006,150.649994,141.441071,1854572
2017-07-03,152.500000,155.649994,150.750000,151.600006,142.333008,8680232
2017-07-04,153.699997,154.149994,149.750000,150.050003,140.877747,3080845
2017-07-05,151.500000,157.100006,150.000000,156.149994,146.604843,5849123
2017-07-06,156.500000,157.800003,152.750000,153.350006,143.976028,4873097
2017-07-07,153.149994,158.899994,153.100006,157.750000,150.412048,6442241
2017-07-10,158.449997,167.850006,157.100006,166.550003,158.802704,4758424
2017-07-11,167.050003,172.800003,167.050003,169.500000,161.615463,12571250
2017-07-12,171.050003,174.800003,169.000000,173.750000,165.667770,10623109
2017-07-13,175.350006,176.699997,171.199997,175.399994,167.240997,5222043
2017-07-14,175.899994,175.899994,172.050003,174.199997,166.096817,2831387
2017-07-17,174.250000,179.300003,172.600006,177.000000,168.766602,4882663
2017-07-18,176.100006,178.699997,173.050003,173.750000,165.667770,3264325
2017-07-19,173.800003,177.399994,173.699997,175.149994,167.002640,4161102
2017-07-20,175.399994,176.250000,170.300003,171.300003,163.331726,2791324
2017-07-21,171.899994,173.850006,169.699997,172.199997,164.189865,4670938
2017-07-24,172.199997,174.300003,169.449997,170.000000,162.092209,2636591
2017-07-25,170.500000,172.250000,169.199997,171.149994,163.188705,2103806
2017-07-26,172.000000,175.350006,170.750000,172.199997,164.189865,3803339
